image_id,brick_type,wall_age,mortar_type,exposure,humidity,load_bearing,length_growth_mm,width_growth_mm
crack_0025,concrete,24,lime,outdoor,low,False,44.466107004191215,0.637200581488359
crack_0026,engineering_brick,14,cement,outdoor,high,False,22.41517599029701,0.36170058127005866
crack_0027,engineering_brick,3,lime,indoor,high,True,43.23260485098432,1.6925731042837275
crack_0028,engineering_brick,15,lime,outdoor,high,True,49.93120227731721,0.8516094597931662
crack_0029,sand_lime,29,cement_lime_mix,outdoor,high,True,41.70703184200321,2.0
crack_0030,sand_lime,43,lime,outdoor,medium,False,50.0,1.6844035958998118
crack_0031,fly_ash,24,cement,outdoor,low,False,17.056280672824446,0.22118458062865293
crack_0032,fly_ash,33,cement,outdoor,low,False,21.9113229969784,0.889598682264349
crack_0033,concrete,29,cement,outdoor,high,False,50.0,2.0
crack_0034,sand_lime,12,cement,indoor,low,True,23.753416017346645,0.986066619166266
crack_0035,engineering_brick,26,lime,indoor,high,True,17.779209542763724,1.680050888875191
crack_0036,concrete,4,cement,indoor,medium,False,23.416066702484407,0.3268933986446373
crack_0037,clay,27,cement_lime_mix,outdoor,high,True,50.0,2.0
crack_0038,sand_lime,50,cement_lime_mix,indoor,medium,True,50.0,1.5935685421864687
crack_0039,fly_ash,34,lime,indoor,high,False,40.92282674199067,1.4211236438953552
crack_0040,clay,41,cement_lime_mix,outdoor,high,False,50.0,2.0
crack_0041,fly_ash,54,cement_lime_mix,indoor,high,False,48.08969241169548,1.6163313967289485
crack_0042,engineering_brick,8,cement_lime_mix,indoor,low,False,5.726924455400574,0.1257622771565719
crack_0043,concrete,5,cement,indoor,low,False,11.007363766648442,0.5222844300912266
crack_0044,engineering_brick,10,cement_lime_mix,outdoor,low,True,22.226691452393375,0.9754795405617284
crack_0045,clay,16,cement_lime_mix,outdoor,low,False,25.779065147366165,1.6076284200409137
crack_0046,fly_ash,26,cement,indoor,low,False,12.772407420898258,0.2551715854053502
crack_0047,sand_lime,29,lime,indoor,low,True,41.13302004634268,2.0
crack_0048,concrete,49,cement_lime_mix,indoor,low,True,34.0649246492683,0.6726382374156734
crack_0049,concrete,40,cement,indoor,low,True,28.563058554829965,0.2731906243971989
crack_0050,clay,29,cement_lime_mix,indoor,high,True,50.0,2.0
crack_0051,engineering_brick,35,cement,indoor,low,False,16.345666510748025,0.24037101946346065
crack_0052,fly_ash,55,cement,indoor,low,True,15.305949724488746,1.0889802119561338
crack_0053,engineering_brick,35,cement,outdoor,high,False,27.106449531847122,0.7361430299277611
crack_0054,sand_lime,53,lime,indoor,medium,False,50.0,2.0
crack_0055,fly_ash,1,lime,outdoor,high,False,30.215512606583978,0.842242793362215
crack_0056,sand_lime,15,lime,indoor,low,True,33.31104766789123,2.0
crack_0057,concrete,45,lime,indoor,low,True,26.90823637481908,2.0
crack_0058,clay,31,cement_lime_mix,indoor,high,False,36.0815876824462,2.0
crack_0059,engineering_brick,54,cement_lime_mix,outdoor,low,False,19.410900623279424,1.0662681042262179
crack_0060,sand_lime,32,cement,indoor,medium,False,39.83764576233908,1.1418845012610148
crack_0061,clay,45,cement,indoor,high,False,32.724329615885736,2.0
crack_0062,concrete,55,cement,outdoor,low,True,50.0,0.8542383290135626
crack_0063,engineering_brick,27,lime,indoor,low,False,28.820660775300812,0.9117287639289051
crack_0064,engineering_brick,24,cement,outdoor,high,False,28.316664203092863,1.3183861686483789
crack_0065,sand_lime,17,cement_lime_mix,outdoor,medium,True,46.02693557318235,1.117351223679012
crack_0066,clay,47,cement_lime_mix,outdoor,low,False,24.027770668751824,2.0
crack_0067,clay,37,lime,outdoor,low,False,50.0,0.9249266852898375
crack_0068,clay,57,cement,outdoor,medium,False,50.0,2.0
crack_0069,engineering_brick,17,cement_lime_mix,outdoor,high,False,39.91958465603781,2.0
crack_0070,clay,52,cement_lime_mix,indoor,high,False,50.0,2.0
crack_0071,concrete,55,cement_lime_mix,indoor,medium,False,42.03593771707881,1.4721724069765247
crack_0072,clay,2,cement_lime_mix,outdoor,low,True,34.54374744744403,1.5505815762728732
crack_0073,fly_ash,56,cement_lime_mix,indoor,low,False,14.228303336529027,0.2846011996620944
crack_0074,sand_lime,41,lime,indoor,medium,False,50.0,2.0
crack_0075,sand_lime,28,cement,outdoor,low,False,14.635720812858995,0.36076229993758013
crack_0076,concrete,2,lime,outdoor,medium,True,42.53815894994422,2.0
crack_0077,concrete,16,cement,outdoor,low,True,36.90381029185609,2.0
crack_0078,clay,42,lime,indoor,low,False,36.005825383316505,0.6014625734825356
crack_0079,clay,30,lime,outdoor,high,True,50.0,2.0
crack_0080,clay,41,cement_lime_mix,indoor,low,True,50.0,1.2226915464979435
crack_0081,sand_lime,1,cement,indoor,low,False,10.246138497932716,0.48244971880290694
crack_0082,clay,56,cement_lime_mix,indoor,low,False,50.0,0.5912798066825669
crack_0083,sand_lime,37,lime,indoor,low,False,15.389423996067649,1.0209190565634416
crack_0084,clay,59,cement_lime_mix,outdoor,high,True,50.0,2.0
crack_0085,fly_ash,36,cement_lime_mix,indoor,low,True,13.383552931828303,0.3749002069308196
crack_0086,fly_ash,29,lime,outdoor,high,True,39.46905340157199,2.0
crack_0087,clay,2,cement,outdoor,medium,True,14.717279677300777,1.4124158866822556
crack_0088,fly_ash,5,lime,indoor,medium,False,12.317793797899553,0.4756839133611547
crack_0089,sand_lime,49,lime,indoor,high,False,27.207165648899426,2.0
crack_0090,concrete,40,cement,indoor,high,True,50.0,1.418764200463981
crack_0091,clay,14,lime,outdoor,high,True,50.0,2.0
crack_0092,clay,3,cement_lime_mix,outdoor,medium,True,20.58762719938084,2.0
crack_0093,concrete,36,cement,indoor,high,False,22.449387460566513,1.35869816839205
crack_0094,fly_ash,55,lime,indoor,high,True,44.53446744987497,2.0
crack_0095,clay,36,cement,outdoor,high,True,50.0,0.8979193306523725
crack_0096,sand_lime,29,cement,outdoor,low,True,46.87249636416284,0.5418431219731326
crack_0097,engineering_brick,40,lime,indoor,high,True,50.0,2.0
crack_0098,clay,19,lime,outdoor,low,True,50.0,2.0
crack_0099,clay,8,cement_lime_mix,indoor,low,True,21.89137184882914,0.7359333394161438
crack_0100,fly_ash,28,cement,indoor,low,True,16.690003452147906,0.2646129189693109
crack_0101,fly_ash,48,cement,outdoor,low,True,37.934951011978704,1.5892881658121447
crack_0102,fly_ash,18,lime,indoor,medium,False,22.592947938167534,0.5887526976993609
crack_0103,clay,18,cement_lime_mix,indoor,low,False,35.068322869767954,1.6474184741963263
crack_0104,fly_ash,3,cement_lime_mix,indoor,high,False,13.293845863699211,0.9284409131171671
crack_0105,fly_ash,16,cement,indoor,high,True,18.2386033189938,0.9616126176587391
crack_0106,sand_lime,2,cement_lime_mix,outdoor,medium,False,25.240966140650674,0.4455130720316572
crack_0107,fly_ash,24,cement,indoor,high,True,37.81863804878511,1.4935759027112143
crack_0108,concrete,29,cement_lime_mix,outdoor,low,False,37.366020680698206,1.6283146211980624
crack_0109,fly_ash,46,cement,indoor,medium,True,47.367036664361216,1.5049580874750486
crack_0110,clay,23,lime,outdoor,medium,False,50.0,0.7713846109215283
crack_0111,sand_lime,20,cement_lime_mix,outdoor,medium,True,50.0,2.0
crack_0112,engineering_brick,47,cement_lime_mix,outdoor,low,True,50.0,0.7138542782611609
crack_0113,fly_ash,53,cement,outdoor,high,False,31.062774445661773,0.6313396440568201
crack_0114,sand_lime,16,lime,indoor,low,False,32.07546579074152,0.5427918497450779
crack_0115,concrete,22,cement,indoor,high,False,15.95773828052997,0.7609091169250015
crack_0116,clay,31,cement,indoor,low,False,27.809458720053257,0.18631371645649414
crack_0117,clay,25,cement_lime_mix,outdoor,low,False,31.7654314323769,2.0
crack_0118,fly_ash,30,cement_lime_mix,indoor,high,True,50.0,1.1810540161956107
crack_0119,clay,2,lime,outdoor,high,True,50.0,2.0
crack_0120,engineering_brick,50,cement,indoor,low,False,27.487292368884162,0.42379963090949413
crack_0121,sand_lime,28,cement,outdoor,medium,False,50.0,2.0
crack_0122,fly_ash,57,cement_lime_mix,outdoor,low,False,30.85692776688707,1.5294109160835356
crack_0123,concrete,17,cement,outdoor,low,False,23.52943076553953,0.7795502527599554
crack_0124,sand_lime,50,cement_lime_mix,indoor,high,False,50.0,1.803539964615712
crack_0125,fly_ash,13,cement_lime_mix,outdoor,medium,False,31.57268031682137,0.9731862059139361
crack_0126,fly_ash,48,lime,indoor,medium,False,48.20757835050127,1.3127721469205822
crack_0127,sand_lime,1,cement_lime_mix,outdoor,high,True,42.986021555207536,2.0
crack_0128,fly_ash,40,cement_lime_mix,outdoor,high,True,50.0,1.2920087601650658
crack_0129,concrete,53,cement_lime_mix,outdoor,medium,True,50.0,2.0
crack_0130,concrete,54,cement,indoor,high,True,50.0,1.0892558366601435
crack_0131,fly_ash,13,cement_lime_mix,indoor,medium,False,34.224961820098734,0.5175292193928022
crack_0132,engineering_brick,33,cement_lime_mix,outdoor,high,False,50.0,1.0850342265720487
crack_0133,clay,46,lime,outdoor,low,True,50.0,2.0
crack_0134,concrete,50,cement,outdoor,medium,True,32.380238902490355,2.0
crack_0135,fly_ash,40,cement,outdoor,high,False,41.11534443750389,1.4710507493863814
crack_0136,sand_lime,43,lime,indoor,low,True,50.0,1.4350625618277533
crack_0137,fly_ash,3,cement_lime_mix,indoor,medium,False,17.31791881935785,0.20090389008704826
crack_0138,engineering_brick,8,cement_lime_mix,indoor,medium,False,9.301107421472734,0.774602325701702
crack_0139,sand_lime,1,lime,outdoor,medium,False,41.817081371976705,0.5618274378981128
crack_0140,sand_lime,26,lime,outdoor,low,False,41.86609662658069,2.0
crack_0141,clay,38,cement,outdoor,low,True,50.0,2.0
crack_0142,engineering_brick,52,cement,indoor,high,True,50.0,1.1196835642839245
crack_0143,clay,28,cement,outdoor,low,False,22.98541388137264,0.8975594165721223
crack_0144,clay,57,lime,indoor,low,True,50.0,2.0
crack_0145,fly_ash,49,lime,indoor,high,False,24.73841031284528,0.9427234511007305
crack_0146,concrete,29,cement,indoor,high,False,29.2725388002685,0.5904373683622581
crack_0147,fly_ash,55,lime,outdoor,high,False,48.35180843537996,1.1982955623188742
crack_0148,concrete,8,lime,indoor,medium,False,40.57204189134029,0.8610690207867566
crack_0149,engineering_brick,55,cement,indoor,low,True,35.6135666307074,1.1345198465533328
crack_0150,engineering_brick,54,cement_lime_mix,indoor,low,True,15.921354087579958,0.43442650351000944
crack_0151,engineering_brick,47,lime,indoor,high,True,46.28616429418813,0.503196373182878
crack_0152,fly_ash,18,cement,indoor,medium,True,26.073510052831402,1.0158437967545653
crack_0153,engineering_brick,43,cement,indoor,high,True,50.0,1.1117639262813253
crack_0154,engineering_brick,25,lime,indoor,high,True,39.74749335490239,1.8600906879170254
crack_0155,fly_ash,3,cement,indoor,medium,False,9.428201480768939,0.6157727686311208
crack_0156,clay,27,cement_lime_mix,indoor,high,False,50.0,0.6891590779649192
crack_0157,sand_lime,44,cement_lime_mix,indoor,low,True,41.47306411380224,1.6311583231673912
crack_0158,sand_lime,12,cement_lime_mix,indoor,high,True,37.80238952359171,1.4909774263361049
crack_0159,clay,13,cement_lime_mix,indoor,low,False,14.902900942385477,1.6442310133510447
crack_0160,fly_ash,41,cement_lime_mix,outdoor,low,False,28.66041636694496,0.4030998173405208
crack_0161,fly_ash,32,cement,outdoor,medium,True,50.0,0.8582377506006711
crack_0162,sand_lime,58,lime,outdoor,high,True,50.0,2.0
crack_0163,clay,38,cement_lime_mix,outdoor,medium,False,50.0,2.0
crack_0164,fly_ash,14,cement,indoor,medium,False,21.732992304649443,0.5424837936083071
crack_0165,fly_ash,14,lime,outdoor,high,True,34.865608877234344,1.354330702248446
crack_0166,concrete,31,cement_lime_mix,outdoor,high,False,40.30076358989629,0.8682472195258762
crack_0167,concrete,43,cement,outdoor,low,True,20.844068410377204,1.4105288866215975
crack_0168,fly_ash,21,lime,outdoor,high,True,50.0,2.0
crack_0169,fly_ash,19,cement,outdoor,low,False,6.780394997028623,0.48585505099593546
crack_0170,fly_ash,34,lime,outdoor,medium,False,18.741908132582147,2.0
crack_0171,fly_ash,9,cement,outdoor,low,False,13.28250125504184,0.5219701467803792
crack_0172,concrete,29,cement_lime_mix,indoor,medium,True,50.0,1.7443937867653827
crack_0173,fly_ash,51,lime,outdoor,low,True,50.0,2.0
crack_0174,concrete,41,cement_lime_mix,indoor,medium,False,50.0,0.6227289265556313
crack_0175,concrete,8,lime,outdoor,high,True,50.0,1.8879425478588985
crack_0176,engineering_brick,18,cement_lime_mix,outdoor,high,False,24.519012592473487,1.171142918356564
crack_0177,fly_ash,38,lime,indoor,high,True,47.947912740340875,2.0
crack_0178,clay,31,cement,indoor,medium,False,45.27793389498548,0.6804999057058905
crack_0179,concrete,25,cement,indoor,high,False,14.09291553368622,1.625734669896329
crack_0180,engineering_brick,32,lime,indoor,medium,True,17.50391638795329,2.0
crack_0181,clay,25,cement,indoor,high,False,35.61543569205892,1.726179145197492
crack_0182,fly_ash,36,lime,indoor,high,True,42.74556000533683,1.086136013653349
crack_0183,engineering_brick,24,cement_lime_mix,outdoor,high,False,31.437866208357825,1.910149839571225
crack_0184,concrete,2,cement_lime_mix,indoor,high,True,50.0,1.2461800675960244
crack_0185,clay,12,cement_lime_mix,indoor,medium,True,31.582523434991934,0.5988586164872717
crack_0186,engineering_brick,7,cement,outdoor,low,False,11.165410007714726,0.5059786635476984
crack_0187,concrete,3,cement_lime_mix,outdoor,low,False,16.36570607951118,1.4952068958960907
crack_0188,engineering_brick,43,cement_lime_mix,outdoor,high,False,50.0,1.4989045422443799
crack_0189,concrete,24,cement,indoor,low,False,23.526432038498868,0.6279190032151144
crack_0190,engineering_brick,59,lime,outdoor,high,False,50.0,2.0
crack_0191,clay,48,lime,indoor,low,False,35.23384707085659,1.7937185676977863
crack_0192,engineering_brick,1,cement_lime_mix,outdoor,high,False,15.559953646493286,1.1314853663160023
crack_0193,fly_ash,8,cement_lime_mix,outdoor,high,True,39.76803734574662,2.0
crack_0194,engineering_brick,26,cement,outdoor,high,False,21.608293888290564,1.3406712717027884
crack_0195,engineering_brick,22,cement,indoor,medium,False,24.2673154959071,0.7454500194012716
crack_0196,clay,17,cement_lime_mix,outdoor,high,True,50.0,2.0
crack_0197,clay,54,cement_lime_mix,indoor,low,True,50.0,2.0
crack_0198,clay,10,cement_lime_mix,outdoor,high,False,26.242632680516714,1.312314251275152
crack_0199,fly_ash,39,cement_lime_mix,indoor,high,True,22.698440055406337,1.79597354261259
crack_0200,fly_ash,53,cement,indoor,high,False,20.360691386544783,1.5904871035723416
crack_0201,fly_ash,50,cement_lime_mix,indoor,medium,True,22.912918407702893,0.9446372100586976
crack_0202,engineering_brick,46,lime,indoor,high,False,50.0,0.49583438011265113
crack_0203,sand_lime,9,lime,indoor,low,True,34.00454034349592,1.1957454656029174
crack_0204,fly_ash,46,cement,indoor,high,True,19.020762321979618,1.1813505874059402
crack_0205,fly_ash,41,lime,outdoor,medium,False,50.0,0.9754821548323939
crack_0206,clay,44,cement_lime_mix,indoor,high,True,50.0,2.0
crack_0207,sand_lime,18,cement_lime_mix,outdoor,low,False,14.313056269025752,0.248718245111322
crack_0208,fly_ash,7,cement,indoor,medium,True,12.454333803724833,0.9789195279427626
crack_0209,engineering_brick,9,cement,outdoor,medium,True,11.694660907292427,1.594165323057608
crack_0210,fly_ash,8,lime,outdoor,low,True,17.792683851025572,2.0
crack_0211,clay,35,cement,indoor,low,True,50.0,1.4818770966952333
crack_0212,concrete,59,cement,indoor,low,False,39.770571585334594,0.6881644582536659
crack_0213,sand_lime,46,cement,indoor,high,True,50.0,2.0
crack_0214,fly_ash,14,cement,indoor,low,False,14.591407665893897,0.8607460789617252
crack_0215,sand_lime,38,cement_lime_mix,outdoor,low,True,33.2414607652743,2.0
crack_0216,engineering_brick,51,cement,outdoor,low,False,36.23670411076155,0.8956917348997008
crack_0217,sand_lime,9,lime,indoor,medium,False,23.05469257174432,1.5068940533053168
crack_0218,sand_lime,28,lime,outdoor,low,False,49.32972534460434,0.41731954684961775
crack_0219,engineering_brick,54,lime,indoor,high,False,27.992961396666395,0.33541951907352474
crack_0220,clay,50,cement,outdoor,low,True,33.53279143628831,2.0
crack_0221,clay,23,cement_lime_mix,outdoor,high,False,50.0,2.0
crack_0222,concrete,46,lime,outdoor,medium,True,50.0,2.0
crack_0223,engineering_brick,36,lime,outdoor,low,True,50.0,2.0
crack_0224,fly_ash,43,cement,indoor,low,False,12.705460881446616,0.5807743789858244
crack_0225,engineering_brick,19,cement,indoor,high,True,13.29805771331812,1.3955875936347324
crack_0226,fly_ash,52,cement,indoor,high,True,43.05228234626303,2.0
crack_0227,clay,43,cement_lime_mix,outdoor,high,True,50.0,2.0
crack_0228,sand_lime,37,cement_lime_mix,outdoor,high,False,50.0,2.0
crack_0229,engineering_brick,27,lime,indoor,medium,True,25.99114124982795,0.7326008083013867
crack_0230,sand_lime,16,cement_lime_mix,outdoor,medium,True,50.0,1.0698523882715611
crack_0231,fly_ash,43,cement,outdoor,medium,False,17.225516199614937,0.8873769305053812
crack_0232,fly_ash,13,cement,outdoor,medium,True,16.9084927136286,0.4797797056324748
crack_0233,concrete,50,lime,outdoor,high,False,50.0,2.0
crack_0234,sand_lime,10,cement,outdoor,high,True,50.0,0.5405068894260036
crack_0235,fly_ash,57,cement_lime_mix,outdoor,high,False,50.0,2.0
crack_0236,engineering_brick,28,cement,outdoor,low,False,8.479796181715084,1.3132138291487605
crack_0237,concrete,18,cement_lime_mix,outdoor,medium,False,50.0,1.2418673730139544
crack_0238,concrete,26,lime,outdoor,medium,False,50.0,0.9141672174455561
crack_0239,sand_lime,6,cement_lime_mix,indoor,low,False,10.096940578841439,0.7983084799751509
crack_0240,clay,31,cement,outdoor,high,False,50.0,1.4640937893561634
crack_0241,concrete,31,cement,indoor,medium,False,19.67272213625059,0.5720312014451472
crack_0242,clay,7,cement_lime_mix,indoor,high,False,47.05233705071151,0.9147429269305398
crack_0243,concrete,38,cement,indoor,low,False,26.853847815065325,1.0445241517825201
crack_0244,concrete,30,cement,indoor,low,False,29.916041828539115,0.30051580965660346
crack_0245,engineering_brick,27,cement,indoor,medium,False,13.58075149005912,0.33866433342111407
crack_0246,concrete,1,lime,outdoor,high,False,41.61766997480023,2.0
crack_0247,clay,36,lime,outdoor,high,False,50.0,2.0
crack_0248,concrete,53,cement_lime_mix,indoor,medium,False,34.01598535701699,0.9864086661772029
crack_0249,sand_lime,28,cement,outdoor,low,True,24.71950234505483,1.3087660388642406
crack_0250,clay,27,cement,indoor,medium,True,20.226365885301824,0.3725509978296755
crack_0251,engineering_brick,22,lime,indoor,high,False,42.66114506874142,0.728952461514705
crack_0252,engineering_brick,17,lime,outdoor,high,False,50.0,2.0
crack_0253,fly_ash,16,cement_lime_mix,outdoor,low,True,39.23361099205358,0.4087919740657221
crack_0254,engineering_brick,18,lime,indoor,low,True,18.23897085457364,0.4150706068798956
crack_0255,concrete,51,cement_lime_mix,outdoor,low,False,44.689482380447515,1.3647205064373822
crack_0256,sand_lime,7,cement,outdoor,medium,False,38.31079080864096,1.9778429532869084
crack_0257,sand_lime,42,cement,indoor,medium,False,43.785372538747204,0.3005845608162789
crack_0258,clay,34,lime,outdoor,low,False,50.0,2.0
crack_0259,fly_ash,34,lime,outdoor,medium,False,50.0,1.3802943012692561
crack_0260,fly_ash,42,lime,indoor,low,False,13.459614604768849,0.9559209555348672
crack_0261,engineering_brick,57,cement_lime_mix,outdoor,high,False,24.392086012112923,1.37758598844092
crack_0262,fly_ash,53,cement,indoor,medium,True,50.0,2.0
crack_0263,concrete,49,lime,outdoor,low,True,50.0,0.7012361885280042
crack_0264,engineering_brick,14,cement_lime_mix,indoor,medium,False,18.92096583446767,0.4383077747720184
crack_0265,sand_lime,56,cement_lime_mix,outdoor,medium,True,50.0,0.9524965089067247
crack_0266,concrete,39,lime,indoor,high,False,50.0,2.0
crack_0267,engineering_brick,1,cement,indoor,high,True,28.6993222986406,0.2188906886982598
crack_0268,concrete,51,lime,indoor,high,True,50.0,1.6404716859043034
crack_0269,sand_lime,16,lime,outdoor,low,True,50.0,0.6291846678653096
crack_0270,fly_ash,23,cement_lime_mix,outdoor,high,True,50.0,1.5991310033792245
crack_0271,sand_lime,22,lime,indoor,low,False,17.475548903979703,0.38041942343380647
crack_0272,engineering_brick,12,lime,outdoor,medium,True,20.310795756276363,1.2044264528782136
crack_0273,fly_ash,23,cement,outdoor,medium,False,14.607150371866302,1.4601771843042661
crack_0274,fly_ash,34,cement_lime_mix,indoor,medium,True,43.35683748430352,0.7905549919391224
crack_0275,fly_ash,15,cement_lime_mix,outdoor,medium,True,29.855444731956723,2.0
crack_0276,engineering_brick,1,cement,outdoor,high,False,20.923419248953543,1.477649730911285
crack_0277,concrete,58,lime,indoor,low,False,50.0,1.5173832328057435
crack_0278,fly_ash,34,lime,indoor,medium,True,50.0,1.7525290994857645
crack_0279,sand_lime,4,cement_lime_mix,indoor,high,True,28.29335365567414,0.6761679728427189
crack_0280,clay,51,cement_lime_mix,indoor,high,False,50.0,0.9253294324577794
crack_0281,engineering_brick,42,lime,indoor,high,True,30.528758382980254,2.0
crack_0282,concrete,42,lime,outdoor,medium,True,50.0,1.1206649263622002
crack_0283,engineering_brick,9,cement,outdoor,high,False,21.271743321613258,1.0431558442923554
crack_0284,sand_lime,26,lime,outdoor,low,True,37.71794557625101,0.7603230438848462
crack_0285,engineering_brick,18,cement_lime_mix,outdoor,high,False,13.765457992198217,1.4532999217929097
crack_0286,clay,56,lime,outdoor,low,True,50.0,0.7900444878371549
crack_0287,engineering_brick,38,lime,indoor,low,True,49.97910374492976,2.0
crack_0288,fly_ash,7,cement_lime_mix,indoor,low,True,19.812824274118494,0.7826136047587631
crack_0289,clay,54,lime,indoor,medium,True,26.896223702681397,2.0
crack_0290,engineering_brick,23,lime,outdoor,medium,True,50.0,2.0
crack_0291,engineering_brick,1,cement,indoor,medium,False,11.798099618563068,0.7849035423657345
crack_0292,fly_ash,18,lime,outdoor,medium,True,50.0,2.0
crack_0293,engineering_brick,17,cement_lime_mix,outdoor,medium,False,16.171524021039204,1.207325620346975
crack_0294,clay,13,cement_lime_mix,indoor,low,False,11.003897798746534,1.0073877227707604
crack_0295,concrete,37,cement,indoor,high,False,30.20504939610421,0.4369526325444595
crack_0296,concrete,47,cement_lime_mix,indoor,medium,True,32.038680528481784,2.0
crack_0297,concrete,41,cement_lime_mix,indoor,medium,True,27.832894282755202,2.0
crack_0298,concrete,36,lime,indoor,medium,False,50.0,1.5356903765306964
crack_0299,fly_ash,40,cement,indoor,high,False,40.081105196327954,1.5621660297964295
crack_0300,fly_ash,44,lime,indoor,high,True,50.0,2.0
crack_0301,fly_ash,30,lime,outdoor,high,False,50.0,2.0
crack_0302,engineering_brick,55,cement,outdoor,low,False,42.29258018443841,1.1791282092947302
crack_0303,sand_lime,44,cement,outdoor,high,False,50.0,2.0
crack_0304,clay,33,cement_lime_mix,indoor,high,True,50.0,1.6418347277020664
crack_0305,sand_lime,37,lime,outdoor,medium,True,50.0,1.3167679592329644
crack_0306,fly_ash,3,lime,indoor,medium,False,29.953640849496555,0.9000721365032379
crack_0307,fly_ash,40,cement,indoor,high,False,33.853412159252215,1.2505144028926445
crack_0308,sand_lime,58,lime,outdoor,medium,True,50.0,2.0
crack_0309,sand_lime,44,lime,outdoor,high,True,50.0,1.8129426197744147
crack_0310,fly_ash,45,cement,outdoor,high,False,43.69111357811073,2.0
crack_0311,concrete,49,cement,outdoor,high,False,37.39054948053828,2.0
crack_0312,fly_ash,2,cement,indoor,low,False,13.313686282944852,0.5552540275891642
crack_0313,clay,8,cement_lime_mix,outdoor,medium,False,35.345332751995585,1.4887476384194018
crack_0314,fly_ash,45,cement,outdoor,medium,False,26.963908755677668,2.0
crack_0315,engineering_brick,17,lime,indoor,medium,True,30.37187945702882,1.063265995602792
crack_0316,clay,31,cement,outdoor,low,False,15.865882092241161,1.0698887977943619
crack_0317,clay,15,lime,outdoor,medium,False,50.0,2.0
crack_0318,clay,6,cement_lime_mix,indoor,high,True,25.942996422025622,1.4078768962656965
crack_0319,fly_ash,25,cement_lime_mix,indoor,low,False,18.596209777734025,0.6928665713854595
crack_0320,engineering_brick,40,cement_lime_mix,indoor,low,False,28.67301423335186,0.24102216743748794
crack_0321,sand_lime,7,cement_lime_mix,indoor,low,False,21.510009150677675,1.1240757906813503
crack_0322,fly_ash,35,lime,outdoor,medium,True,46.10928754090117,1.769104881615553
crack_0323,concrete,1,cement,indoor,low,True,9.326042456656632,0.6619782028918234
crack_0324,engineering_brick,52,cement_lime_mix,indoor,medium,True,17.36002236906801,0.4856394075929887
crack_0325,sand_lime,10,lime,indoor,low,True,40.848348734837856,1.3394696866297175
crack_0326,clay,10,lime,indoor,medium,True,36.32077098554853,0.37520356270609667
crack_0327,fly_ash,32,cement_lime_mix,indoor,high,True,24.172043653434628,2.0
crack_0328,sand_lime,3,cement_lime_mix,outdoor,low,False,37.82774666400256,1.2933876825419415
crack_0329,engineering_brick,15,lime,outdoor,medium,True,46.67011517766629,2.0
crack_0330,engineering_brick,53,cement,indoor,high,False,18.14265924196468,1.6248059813819529
crack_0331,sand_lime,53,cement_lime_mix,outdoor,high,False,50.0,2.0
crack_0332,clay,51,cement,outdoor,medium,True,50.0,2.0
crack_0333,clay,47,lime,indoor,high,True,40.50824619665716,2.0
crack_0334,fly_ash,41,cement_lime_mix,indoor,medium,False,47.94321812713088,0.6007356514434161
crack_0335,fly_ash,14,cement,indoor,low,False,12.075420663457232,0.20289311729490286
crack_0336,sand_lime,5,cement_lime_mix,indoor,high,False,40.442346068826495,1.9496396848059374
